Luca, Rome, archivio sforico
Decreti, Congregazioni 1755-60"
AST CI,"Archivio di Stato di Torino (sez.1), Cerimoniale, Inghilterra 
(mazz.1 d'add.)",,,,,,,,,,,,
AST LP,"Archivio di Stato di Torino (sez.1), Lettere particolari",,,,,,,,,,,,
ASV IS 72,Archivio di Stato di Venezia Inquisitori di Stato Lettere ai Rettori di Padova,,,,,,,,,,,,
ASV IS 203,Archivio di Stato di Venezia Inquisitori di Stato Minuti e memorie del Segretario 1778-9,,,,,,,,,,,,
ASV IS 224,Archivio di Stato di Venezia Inquisitori di Stato Dispacci dai Rettori di Bergamo 1791-3 ,,,"1076, 5146",,,,,,,,,
ASV IS 225,Archivio di Stato di Venezia Inquisitori di Stato Dispacci dai Rettori di Bergamo 1794-95,,,"374, 1322",,,,,,,,,
ASV IS 227,Archivio di Stato di Venezia Inquisitori di Stato Dispacci dai Rettori di Bergamo 1795,,,3236,,,,,,,,,
ASV IS 228,Archivio di Stato di Venezia Inquisitori di Stato Dispacci dai Rettori di Bergamo 1796-7,,,,,,,,,,,,
ASV IS 284,"Archivio di Stato di Venezia Inquisitori di Stato Senato, Dispacci: Roma",,,,,,,,,,,,
ASV IS 319,"Archivio di Stato di Venezia Inquisitori di Stato Senato, Corti",,,,,,,,,,,,
ASV IS 759-781,"Archivio di Stato di Venezia Inquisitori di Stato Note dei forestieri: Venezia, 1766-Feb, 1797",,"253, 3308","22, 373, 385, 391, 814, 936, 965, 1097, 1153, 1218, 1246, 1328, 1387, 1411, 1449, 1830, 3262, 3315, 3451, 3582, 3709, 3767, 3973, 4264",,,,,,,,,
