Full title,Abbreviation in sources,Abbreviation in dictionary,,Number of entries with the source as January 2023,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 773,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 774,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 775,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 776,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 777,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 778,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 779,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 780,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 781,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Bassano, Bergamo, Brescia, Padua, Verona,Vicenza, etc., 1794-97",ASV IS 782-83,ASV IS 782,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Bassano, Bergamo, Brescia, Padua, Verona,Vicenza, etc., 1794-97",ASV IS 782-83,ASV IS 783,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Teatri 1665-1797",ASV IS 914,ASV IS 914,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Atti vari [ inc. Licenze per
visitar l'Arsenal 1772-9 and Elenchi di navi 1702]",ASV IS 919,ASV IS 919,,N.A.,
,,,,1,
"Archivio di Stato di Verona; Ufficio di Sanita', Contumacie civili e militari 1738-44",ASVR US XXXVII-IX,ASVR US XXXVII,,,
"Archivio di Stato di Verona; Ufficio di Sanita', Contumacie civili e militari 1738-44",ASVR US XXXVII-IX,ASVR US XXXVIII,,1,
"Archivio di Stato di Verona; Ufficio di Sanita', Contumacie civili e militari 1738-44",ASVR US XXXVII-IX,ASVR US XXXIX,,3,
priv.coll. (inc. letters to Lady Bruce from Italy 1794-7),Attingham MSS,Attingham MSS,,36,
"Archivio del Vicariato, S.Giovanni in Laterano, Rome; Liber Mortuorum",AVR LM,AVR LM,,2,
"Archivio del Vicariato, S.Giovanni in Laterano, Rome; Stati delle Anime",AVR SA,AVR SA,,361,
"Badminton House, Glos.",Badminton MSS,Badminton MSS,,13,
"The Household Book of Lady Grisell Baillie 1693-1733, ed. R. Scott-Moncrieff, Scots.Hist.Soc., n. ser. 1[1911]","Baillie, Household Bk.","Baillie, Household Bk.",,13,
"letters from Charles Baldwyn to his cousin Adam Ottley, in Shropshire Archaeological and Natural Hist.Soc. Trans., 4th ser. 2[1912]:347-79",Baldwyn Letters,Baldwyn Letters,,20,
priv.coll. (NRA 14146),Balfour of Fernie MSS,Balfour of Fernie MSS,,3,
"Henry Bankes, letters to his mother from Italy 1778-80 and 1782 and diaries of his grand tour 1778-80; Kingston Lacy Mss, Dorset RO, Dorchester, on deposit from the National Trust (notes from A. Cleminson in RBF)",Bankes MSS,Bankes MSS,,23,
"Henry Alton Barker, journals and sketchbooks 1799-1805; NLS, MS.9647",Barker jnl.MSS,Barker jnl.MSS,,2,
"letters from Miles Barne in Italy 1771; Suffolk RO, Ipswich, HA53:359/130, 114, 109, 110.",Barne letters MSS,Barne letters MSS,,1,
"letters from Thomas Barrett in
 Italy 1749-50 to Nicholas Hardinge; Essex RO, Chelmsford, D'DL C43/3/224-8",Barrett-Lennard MSS,Barrett-Lennard MSS,,4,
"BL [formerly Suffolk RO, HA 174/1026/68]",Barrington MSS,Barrington MSS,,1,
"The Works of James Barry, Historical Painter, 2 vols. [1809]","Barry, Works","Barry, Works",,9,
list of works of art acquired by Stephen Beckingham from Italy [1752-]; priv.coll.,Beckingham list MSS,Beckingham list MSS,,3,
"Corrispondenza di Alberigo Barbiano di Belgioioso con diversi 1759-96; Archivio Storico Civico e Biblioteca Trivulziana, Milan",Belgioioso Letters,Belgioioso Letters,,6,
"C.F. Bell, Annals of Thomas Banks [1938]","Bell, Banks","Bell, Banks",,34,
"journal of Mrs Sarah Bentham in Italy 1793-4; PRO, Colchester MSS, 30/9/ 43, 44",Bentham jnl.MSS,Bentham jnl.MSS,,60,
"letters from Willem Bentinck in Italy 1727-8, to his mother, the Countess of Portland; BL, Eg.1711",Bentinck letters MSS,Bentinck letters MSS,,3,
"The Works of George Berkeley, ed. A.A. Luce and T.E. Jessop vol.7, Berkeley's Journals of Travels in Italy [1955], 231-333","Berkeley Jnls.
","Berkeley Jnls.
",,6,
"The Works of George Berkeley, ed. A.A. Luce and T.E. Jessop vol.8, Letters [1956]",Berkeley Letters,Berkeley Letters,,6,
"letters from Moses Bernege in Italy 1727-8 with Willem Bentinck, to the Countess of Portland; BL, Eg.1711",Bernege letters MSS,Bernege letters MSS,,14,
"Extracts from the Journals and Correspondence of Miss Berry 1783-1852, ed. by Lady Theresa Lewis, 3 vols. [1866 ed.]",Berry Jnls.,Berry Jnls.,,21,
