Full title,Abbreviation in sources,Abbreviation in dictionary,,Number of entries with the source as January 2023,
"A. and H. Tayler, Stuart Papers at Windsor [1939]",Tayler 1939,Tayler 1939,,,
"H. Tayler, Jacobite Epilogue, a further selection of letters from Jacobites among the Stuart Papers at Windsor [1941]",Tayler 1941,Tayler 1941,,,
"The Taylor Papers being a record of certain reminiscences, letters and journals in the life of Lieut. Gen. Sir Herbert Taylor ..., ed. E, Taylor [1913]",Taylor Papers,Taylor Papers,,,
"letters from William Theed in Italy 1790-95; BL, Add.53790 and one (Rome, 18 Jul.1792) in a priv.coll.",Theed letters MSS,Theed letters MSS,,,
"letters from Edward Thomas in Italy 1750-51 to Dr Jeremiah Milles; BL, Add.19941,ff.1-39",Thomas letters MSS,Thomas letters MSS,,,
"letters from James Thomson, Roman agent for the Scottish Catholic mission in Rome 1782-92; Scottish Catholic Archives, Edinburgh, Blairs letters, BL3/397/1-10",Thomson letters MSS,Thomson letters MSS,,,
"letters 1768-91 from Father John Thorpe in Rome to the 8th Baron Arnndell; Wilts CRO, Trowbridge, Arnndell MSS, 2667",Thorpe letters MSS,Thorpe letters MSS,,,
"letters 1767-81 from Father John Thorpe in Rome to the 8th Baron Arnndell; Clifford of Chudleigh MSS, priv. coll.",Thorpe letters MSS*,Thorpe letters MSS*,,,
"MS list of pictures sent to Wardour Castle from Italy by Father John Thorpe, May 1770-November 1776; Arundell MSS, Wilts CRO, Trowbridge, 2667",Thorpe list MSS,Thorpe list MSS,,,
"Thraliana, The Diary of Mrs Hester Lynch Piozzi 1776-1809, ed. K.C. Balderston, 2 vols. [1942]",Thraliana,Thraliana,,,
"papers of Charles Townley (corr., accts., etc.); BL (unsorted 1995)",Townley MSS,Townley MSS,,,
"The Treasure Houses of Britain, exh.cat, Washington [1965]",Treasure Houses,Treasure Houses,,,
"letters from Sir Gregory Page Turner in Italy 1768 to his uncle James Leigh; Stratford upon Avon, Leigh Muniments",Turner letters MSS,Turner letters MSS,,,
"I. Jenkins and K. Sloan, Vases and Volcanoes, Sir William Hamilton and his Collection, exh.cat. BM [1996]",Vases and Volcanoes,Vases and Volcanoes,,,
"J. Venn, Alumni Cantabrigienses, 4 vols. [1922-27]",Venn,Venn,,,
"Lettere e scritti inediti di Pietro e Alessandro Verri, ed. C. Casati [Milan 1879-81]","Verri, Cart.","Verri, Cart.",,,
"G, Vertue, Note Books, vol.III; Wal.Soc., 22[1934]","Vertue, 3","Vertue, 3:",,,
"G, Vertue, Note Books, vol.IV, Wal.Soc., 24[1936]","Vertue, 4","Vertue, 4:",,,
"G, Vertue, Note Books, vol.V, Wal.Soc., 26[1938]","Vertue, 5","Vertue, 5:",,,
"Countess of Verulam, ‘James Bucknall, Third Viscount Grimston', St Albans and Herts Architectural and Archaeological Soc.Trans. [1935]",Verulam 1935,Verulam 1935,,,
"travel diary of Lord Villiers in Italy 1755-6; Greater London RO, acc.510/254",Villiers jnl.MSS,Villiers jnl.MSS,,,
"L. Volpicella, I Libri dei Cerimoniali della Republica di Genova [1921]",Volpicella,Volpicella,,,
Voltaire 1967,Voltaire 1967,Voltaire 1967,,,
"G.F, Waagen, Treasures of Art in Great Britain, 3 vols, [1854]",Waagen,Waagen,,,
"Anecdotes of Painting in England ... collected by Horace Walpole, ed. R.W. Wornum, 3 vols. [1888]","Walpole, Anecdotes, 2","Walpole, Anecdotes, 2:",,,
"EW. Hilles and P.B. Daghlian ed., Anecdotes of Painting in England...collected by Horace Walpole...volume the fifth and last [1937]","Walpole, Anecdotes, 5","Walpole, Anecdotes, 5:",,,
"Horace Walpole’s Correspondence, ed. W.S. Lewis, 43 vols. + 5 vols, index [1937-83]",Wal.Corr.,Wal.Corr.,,,
The Walpole Society,Wal.Soc.,Wal.Soc.,,,
"E.K. Waterhouse, ‘The British Contribution to the Neo-Classical style in Painting’, Proceedings of the British Academy, 40 [1954]:57-74",Waterhouse 1954,Waterhouse 1954,,,
"E.K. Waterhouse, Dictionary of British 18th Century Painters [1981]",Waterhouse 1981,Waterhouse 1981,,,
"E.K. Waterhouse, Painting in Britain 1530-1790, 5th ed.",Waterhouse 1994,Waterhouse 1994,,,
"letters to the Abbé Walker principally from Dom.Placid Waters in Rome 1779-91; Lille, archives du nord, 18 H67",Waters letters MSS,Waters letters MSS,,,
"journal of George Waters in Italy 1710-11 with John Bellings; John Rylands Lib., Manchester, Eng. MS 1153 (Bellings MSS)",Waters jnl.MSS,Waters jnl.MSS,,,
"Thomas Watkins, Travels through Swisserland, Italy, Sicily, the Greek Islands, to Constantinople; through part of Greece, Ragusa, and the Dalmatian Isles; In a Series of Letters to Pennoyre Watkins Esq. from Thomas Watkins, A.M. in the Years 1787, 1788, 1789, 2 vols. [1792]","Watkins, Letters","Watkins, Letters",,,
"A. Finer and G. Savage, ed., The Selected Letters of Josiah Wedgwood [1965]",Wedgwood Letters,Wedgwood Letters,,,
"Dorset RO, Dorchester",Weld MSS,Weld MSS,,,
"correspondence of Robert Wharton, principally letters from him in Italy 27 October 1775-17 May 1776; Durham U. Lib., Wharton MSS",Wharton letters MSS,Wharton letters MSS,,,
papers of W.T. Whitley; BMPL,Whitley MSS,Whitley MSS,,,
"W.T. Whitley, Artists and their Friends in England 1700-1799, 2 vols. [1928]",Whitley 1928,Whitley 1928,,,
"W.T. Whitley, Art in England 1800-1820 [1928]",Whitley 1800-20,Whitley 1800-20,,,
"W.T. Whitley, Art in England 1821-37 [1928]",Whitley 1821-37,Whitley 1821-37,,,
"correspondence of Ralph Howard, Vct Wicklow; NLI, PC 227",Wicklow MSS,Wicklow MSS,,,
"The Correspondence of John Wilkes [with] Memoirs of his Life by John Almon, 5 vols. [1805]",Wilkes Corr.,Wilkes Corr.,,,
"letters from Lord Winchilsea in Italy 1772-3 to his mother Lady Charlotte Finch; Leics RO, Leicester, Finch MSS",Winchilsea letters MSS,Winchilsea letters MSS,,,
"C. Justi, Winckelmann und seine Zeitgenossen, 3 vols. [1898]",Winckelmann 1898,Winckelmann 1898,,,
"W. Rehm and H. Diepolder ed., Johann Joachim Winckelmann Briefe, 4 vols. [1952-7]",Winckelmann Briefe,Winckelmann Briefe,,,
"Lines Archives, Lincoln",Worsley MSS,Worsley MSS,,,
"letters from Earl Harrold and J. Gerrard in Italy 1715-16 to the Duke of Kent; Beds. RO, Bedford, L30/8/28 (Gerrard), L/30/8/33 (Harrold)",Wrest Park MSS,Wrest Park MSS,,,
"‘Expenses & Disbursements in Sr Watkins [Sir Watkin Williams Wynn] Expedition into foreign parts’ [1768-69]; NLW, Wynnstay MSS, box 115/1",Wynn disbursements MSS,Wynn disbursements MSS,,,
"M. Wynne, ‘Members from Great Britain and Ireland of the Florentine Accademia del Disegno 1700-1825', Burl.Mag., 132[1990]:535-8",Wynne 1990,Wynne 1990,,,
"The Wynne Diaries, ed. A. Fremantle, 3 vols.; 1 1789-94 [1935]; 2 1794-98 [1937]; 3 1798-1820 [1940]",Wynne Diaries,Wynne Diaries,,,
"Masterpieces from Yorkshire Houses, exh.cat., York [1994]",Yorkshire Houses,Yorkshire Houses,,,
"Sir William Young, MS Notebook, Reminiscences... (priv. coll.)",Young notebk.MSS,Young notebk.MSS,,,
"Arthur Young, Travels, During The Years 1787, 1788, and 1789 [Everyman ed. 1927]","Young, Travels","Young, Travels",,,
