index	education	from	to	degree	degreeDate	teacher	institution	place
1266	Trin. Oxf.			BA	1782		Trinity College, Oxford	Oxford
1269	Leiden U.	1731					Leiden University	Leiden
1270	Queen's Oxf.	1708					Queen's College, Oxford	Oxford
1271	Edinburgh U.						Edinburgh University	Edinburgh
1271	Leiden U.						Leiden University	Leiden
1272	Eton						Eton College School	Eton
1272	Edinburgh U.						Edinburgh University	Edinburgh
1281	Eton						Eton College School	Eton
1281	Trin. Camb.	1763					Trinity College, Cambridge	Cambridge
1282	Eton						Eton College School	Eton
1282	Trin. Camb.	1762					Trinity College, Cambridge	Cambridge
1284	Eton						Eton College School	Eton
1284	Trin. Camb.	1766					Trinity College, Cambridge	Cambridge
1285	King's Camb.	1732					King's College, Cambridge	Cambridge
1285				DD	1755			
1286	Christ's Camb.	1770					Christ's College, Cambridge	Cambridge
1288						Hayman		
1295	Clare Camb.	1722					Clare College, Cambridge	Cambridge
1296	M.Temple	1707					Middle Temple	London
1299	Eton						Eton College School	Eton
1299	Ch.Ch. Oxf.						Church Christ College, Oxford	Oxford
1300	Trin. Oxf.	1749					Trinity College, Oxford	Oxford
1302	Eton						Eton College School	Eton
1304	Magd. Oxf.	1698					Magdalene College, Oxford	Oxford
1304	I.Temple	1697					Inner Temple	London
1304	L.Inn	1702					Lincoln's Inn	London
1304	G.Inn	1709					Gray's Inn	London
1305	BNC Oxf.	1763					Brasenose College, Oxford	Oxford
1306	Abingdon GS						Abingdon Grammar School	Abingdon, Oxfordshire
1307	Oriel Oxf.	1735					Oriel College, Oxford	Oxford
1308	Univ. Coll. Oxf.	1765					University College, Oxford	Oxford
1312	Balliol Oxf.	1696					Balliol College, Oxford	Oxford
1316	Trin. Camb.	1752					Trinity College, Cambridge	Cambridge
1332	St John's Oxf.	1739					St John's College, Oxford	Oxford
1332				DCL	1749			
1333	Ch.Ch. Oxf.	1779					Church Christ College, Oxford	Oxford
1334	Magd. Oxf.	1713					Magdalene College, Oxford	Oxford
1336	Ch.Ch. Oxf.	1703					Church Christ College, Oxford	Oxford
1337	Eton						Eton College School	Eton
1337	Ch.Ch. Oxf.	1745					Church Christ College, Oxford	Oxford
1339	Eton						Eton College School	Eton
1339	Trin. Camb.	1763					Trinity College, Cambridge	Cambridge
1342						Humphry		
1347	London	1776				Thomas Carter		London
1347	RA Schools	1777					Royal Academy Schools	London
1352	St John's Camb.	1697					St John's College, Cambridge	Cambridge
1353	Eton						Eton College School	Eton
1353	Trin. Hall Camb.	1766					Trinity Hall College, Cambridge	Cambridge
1353	M.Temple	1764					Middle Temple	London
1354	Dublin Society Schools of Drawing					Robert West	Dublin Society Schools of Drawing	Dublin
1364	Oriel Oxf.	1726					Oriel College, Oxford	Oxford
1366	King's Canterbury							Canterbury
1366	Westminster						Westminster School	Westminster, London
1366	St John's Camb.	1751					St John's College, Cambridge	Cambridge
1370	Ch.Ch. Oxf.	1752					Church Christ College, Oxford	Oxford
1370	I.Temple	1756					Inner Temple	London
1372	RA Schools	1786					Royal Academy Schools	London
1374	Ch.Ch. Oxf.	1739					Church Christ College, Oxford	Oxford
1386	Westminster						Westminster School	Westminster, London
1386	Trin. Hall Camb.	1767					Trinity Hall College, Cambridge	Cambridge
1389	Westminster						Westminster School	Westminster, London
1389	Magd. Oxf.	1747					Magdalene College, Oxford	Oxford
1390	Ch.Ch. Oxf.	1790					Church Christ College, Oxford	Oxford
1391	Magd. Oxf.	1703					Magdalene College, Oxford	Oxford
1418	St John's Oxf.	1704					St John's College, Oxford	Oxford
1421	Winchester						Winchester College School	Winchester
1421	Exeter Oxf.	1707					Exeter College, Oxford	Oxford
1421	L.Inn	1711					Lincoln's Inn	London
1440	Westminster						Westminster School	Westminster, London
1441	Westminster						Westminster School	Westminster, London
1445	Eton						Eton College School	Eton
1447	King's Camb.						King's College, Cambridge	Cambridge
1447	King's Camb.			MA	1722		King's College, Cambridge	Cambridge
1449	Aberdeen U.						Aberdeen University	Aberdeen
1449	Leiden U.	1766					Leiden University	Leiden
1449	L.Inn	1771					Lincoln's Inn	London
1457	Leiden U.						Leiden University	Leiden
1457	Westminster						Westminster School	Westminster, London
1457	Ch.Ch. Oxf.	1737					Church Christ College, Oxford	Oxford
1460	Eton						Eton College School	Eton
1465						Benjamin West		
1465	RA Schools	1769					Royal Academy Schools	London
1468	Lincoln Oxf.	1739					Lincoln College, Oxford	Oxford
1468				DD	1773			
1471	St John's Oxf.	1706					St John's College, Oxford	Oxford
1473	Westminster						Westminster School	Westminster, London
