index	sequence	spouse	year	relative
4933	1	Maria Eleanor Forbes	1791	
4934	1	Ldy. Charlotte Capel	1752	
4935	1	Judith Herne	1705	
4936	1	Mary Muilman-Trench Chiswell	1779	
4950	1	Mary Webb	1714	
4951	1	2nd E. Waldegrave	1759	
4951	2	William Frederick	1766	
4952	1	Cornelia van Lennep	1785	
4966	1	Ldy. Jane Hope	1814	
4968	1	Mary Bernard	1796	
4968	2	Elizabeth Biddulph	1806	
4972	1	Ldy. Bridget Bennet	1716	
4972	2	Hon. Elizabeth Griffin	1741	
4975	1	Ldy. Rachel Cavendish	1748	
4977	1	Margaret Rolle (see Margaret	1724	
4984	1	Hon. Harriet Forrester		
4989	1	Mary Baker	1788	
4993	1	Ldy. Anne Stuart	1764	
4993	2	Frances Burrell	1779	
4997	1	Jane Revel	1758	
4997	2	Frances Bisshopp	1764	
5000	1	Mary Oldbury	1702	
5009	1	Susanna Vaughan	1795	
5013	1	Juliana Copley	1789	
5016	1	Grace Pelham	1752	
5017	1	Mary Elizabeth Milles	1785	
5032	1	Hester Newton	1727	
5033	1	Jane Lloyd		
5033	2	Elizabeth Creed		
5042	1	Elizabeth Vassall	1786	
5043	1	Sir Godfrey Webster	1786	
5043	2	2nd B. Holland	1797	
5044	1	Elizabeth Ramsden	1771	
5045	1	Mary Daes		
5047	1	a dau. of Carlo Rovedino	1790	
5048	1	Mary Brotherton		
5049	1	Hon. Juliana Petre	1763	
5049	2	Mary Anne Smythe	1775	
5055	1	Ldy. Emily Cadogan	1802	
5060	1	Ldy. Elizabeth Sutherland	1757	
5061	1	Frances Erskine	1788	
5066	1	Sir Butler Cavendish Wentworth		
5066	2	John Murray	1748	
5067	1	Elizabeth Lord	1720	
5068	1	Diana Blackett	1720	
5069	1	Susanna Slaughter		
5073	1	Sarah Wren	1774	
5074	1	Ldy. Charlotte MacCarthy	1721	
5074	2	Anne Walker	1744	
5076	1	Frances Balchen		
5083	1	Penelope Tierney	1784	
5086	1	Elizabeth Frances Paine	1775	
5087	1	Elizabeth Jones	1774	
5087	2	Miss Heathcote	1803	
5087	3	Mrs Horneck	1813	
5088	1	Martha Holmes	1715	
5088	2	Theresa O'Beirne	1726	
5089	1	Sarah Whaley	1787	
5094	1	Frances Whitney in Italy		
5096	1	Ldy. Elizabeth Grey	1788	
5111	1	Maria Harvey	1774	
5113	1	Laetitia Rudd	1798	
5119	1	Mary Mead	1747	
5125	1	Anne Catherine Hobart	1784	
5126	1	Miss Thurloe	1735	
5128	1	Mr Heaton		
5129	1	Ldy. Frances Coningsby	1732	
5138	1	Anne Hughes	1799	
5152	1	Dorothy Cartwright	1756	
5154	1	Georgiana Chadwick	1770	
5162	1	Beatrice Egerton	1778	
5162	2	Sarah Harper	1782	
5176	1	Hon. Charlotte de Grey	1769	
5177	1	Sarah Hicks	1749	
5178	1	Cecilia Forrest	1798	
5182	1	Hon. Anne Foley	1776	
5193	1	Sophia Berkeley	1769	
5194	1	Sarah Campbell	1782	
5195	1	Miss O'Driscoll	1725	
5196	1	Rosa O'Neill		
5202	1	Ldy. Anne Belasyse	1791	
5202	2	Eliza Little	1813	
5206	1	Ann Skottowe		
5215	1	Ldy. Elizabeth Noel	1704	
5217	1	Frances Turbutt	1761	
5221	1	Seymour Dorothy Fleming	1775	
5222	1	Ldy. Elizabeth Boyle	1750	
5223	1	Elizabeth Lister	1757	
5229	1	Jane Lascelles	1789	
5230	1	Mary Darell		
5231	1	Mary Edwards	1749	
5231	2	Ellen Thresher	1755	
5236	1	Rebecca Maclane	1796	
5237	1	Catherine Stapleton	1754	
5239	1	Hannah Swift	1773	
5247	1	Maria Arabella Maddock	1805	
5249	1	Hon. Alicia Maria Carpenter	1751	
5250	1	Caroline Hearst	1768	
5256	1	Ldy. Catherine Seymour	1708	
5256	2	Maria de Jong	1734	
5257	1	Frances Harford	1784	
5257	2	Julia Konstancia	after 1822	
5259	1	Jane Wynne	1735	
5261	1	Ldy. Henrietta Somerset	1769	
5261	2	Charlotte Grenville	1771	
5262	1	Capt. Thomas Fremantle	1797	
5263	1	Robert Campbell	1806	
5264	1	Count Rosenberg	1761	
5266	1	Susanna Church		
5266	2	Anna Gazzini	1740	
5267	1	Agathe Camille de Roye [Royer]	1770	
5275	1	Anne Cleeve	1765	
5278	1	Elizabeth Lygon	1762	
5279	1	Ldy. Elizabeth Lindsay	1782	
5284	1	Sarah Lawrence	1777	
5284	2	Barbara Talbot	1793	
